"DATE"	"A191RL1Q225SBEA"	"A191RO1Q156NBEA"	"B230RC0Q173SBEA"	"CAPUTLB50001SQ"	"GDPPOT"	"ND000334Q"
1972-01-01	7.6	3.5	209142	83.1917	5266.39451253143	
1972-04-01	9.4	5.3	209637	84.1495	5308.64115978099	
1972-07-01	3.8	5.4	210181	84.5425	5351.57456000385	
1972-10-01	6.9	6.9	210737	86.7229	5395.22409247495	
1973-01-01	10.3	7.6	211192	88.3711	5439.88960931134	
1973-04-01	4.4	6.3	211663	88.2214	5486.69672719185	
1973-07-01	-2.1	4.8	212191	88.0567	5534.06874198945	
1973-10-01	3.9	4	212708	88.5098	5582.51994187006	
1974-01-01	-3.4	0.6	213144	86.9336	5631.59863724926	
1974-04-01	1	-0.2	213602	86.3134	5680.97039331589	
1974-07-01	-3.7	-0.6	214147	85.396	5729.75264091535	
1974-10-01	-1.5	-1.9	214700	81.5166	5777.80231813773	
1975-01-01	-4.8	-2.3	215135	75.7094	5824.54309169916	
1975-04-01	2.9	-1.8	215652	74.3632	5870.25528010044	
1975-07-01	7	0.8	216289	75.8213	5915.57577239311	
1975-10-01	5.5	2.6	216848	77.0566	5960.94797673003	
1976-01-01	9.3	6.2	217314	78.9466	6006.20487435521	
1976-04-01	3	6.2	217776	79.4555	6052.32398843067	
1976-07-01	2.2	5	218338	79.9681	6099.82663364255	
1976-10-01	2.9	4.3	218917	80.8502	6148.07963851686	
1977-01-01	4.8	3.2	219427	81.8973	6197.95641189097	
1977-04-01	8	4.5	219956	83.8213	6249.00985658387	
1977-07-01	7.4	5.8	220573	84.0605	6300.83890503611	
1977-10-01	0	5	221201	83.881	6354.08466144675	
1978-01-01	1.3	4.1	221719	82.9338	6408.73386343225	
1978-04-01	16.4	6.1	222281	85.5431	6464.47012844517	
1978-07-01	4.1	5.2	222933	85.5629	6521.71126579075	
1978-10-01	5.5	6.7	223583	86.3625	6580.02714270136	
1979-01-01	0.7	6.5	224152	86.0731	6639.97921193967	
1979-04-01	0.4	2.7	224737	85.2105	6697.93868420551	
1979-07-01	3	2.4	225418	84.3428	6757.01710279926	
1979-10-01	1	1.3	226117	84.1179	6807.43135101808	
1980-01-01	1.3	1.4	226754	83.958	6853.97410111297	
1980-04-01	-8	-0.8	227389	79.938	6896.05350749436	
1980-07-01	-0.5	-1.6	228070	78.1572	6933.63003336388	
1980-10-01	7.7	0	228689	80.6554	6973.29876560646	
1981-01-01	8.1	1.6	229155	80.29	7017.08285001716	
1981-04-01	-2.9	3	229674	79.9366	7064.06824566191	
1981-07-01	4.9	4.3	230301	80.0732	7113.66709084489	
1981-10-01	-4.3	1.3	230903	77.7126	7165.84626520865	
1982-01-01	-6.1	-2.2	231395	75.6351	7219.8608180578	
1982-04-01	1.8	-1	231906	74.2906	7275.19765008185	
1982-07-01	-1.5	-2.6	232498	72.928	7331.6461214549	
1982-10-01	0.2	-1.4	233074	71.3698	7389.19694034572	
1983-01-01	5.4	1.4	233546	72.0691	7446.70712396153	
1983-04-01	9.4	3.3	234028	73.6179	7505.60082845327	
1983-07-01	8.2	5.7	234603	76.0642	7566.21767954535	
1983-10-01	8.6	7.9	235153	77.904	7629.34616927036	
1984-01-01	8.1	8.6	235605	79.9375	7701.16114944348	
1984-04-01	7.1	8	236082	80.7835	7768.86250274969	
1984-07-01	3.9	6.9	236657	80.8455	7838.09698758813	
1984-10-01	3.3	5.6	237232	80.3294	7908.40994340334	
1985-01-01	3.9	4.6	237673	79.9932	7978.98457353985	
1985-04-01	3.6	3.7	238176	79.4557	8049.74450015821	
1985-07-01	6.2	4.3	238789	78.7803	8120.35934296147	
1985-10-01	3	4.2	239387	78.7732	8190.52282594245	
1986-01-01	3.8	4.1	239861	78.8945	8260.0760117667	
1986-04-01	1.8	3.7	240368	78.1641	8329.29049544618	
1986-07-01	3.9	3.1	240962	78.2376	8398.32168318115	
1986-10-01	2.2	2.9	241539	78.8437	8467.28088571419	
1987-01-01	3	2.7	242009	79.5186	8535.83029898143	
1987-04-01	4.4	3.4	242520	80.4842	8604.09685974709	
1987-07-01	3.5	3.3	243120	81.5346	8672.09795683478	
1987-10-01	7	4.5	243721	83.0985	8740.35520686108	
1988-01-01	2.1	4.2	244208	83.6204	8808.24216135715	
1988-04-01	5.4	4.5	244716	84.2062	8876.37626131362	
1988-07-01	2.4	4.2	245354	84.4128	8944.32849349628	
1988-10-01	5.4	3.8	245966	84.8304	9012.22453064848	
1989-01-01	4.1	4.3	246460	84.9236	9079.78364735601	
1989-04-01	3.1	3.7	247017	84.1548	9146.94407873701	
1989-07-01	3	3.9	247698	83.0861	9213.66641335173	
1989-10-01	0.8	2.7	248374	82.8241	9280.11715354971	
1990-01-01	4.4	2.8	248936	82.8396	9345.72906231577	
1990-04-01	1.5	2.4	249711	82.9003	9410.69827950892	
1990-07-01	0.3	1.7	250595	82.7931	9474.2945262599	
1990-10-01	-3.6	0.6	251482	81.1803	9536.66073347657	
1991-01-01	-1.9	-0.9	252258	79.3866	9598.13384737104	
1991-04-01	3.2	-0.5	253063	79.6182	9658.7722615471	
1991-07-01	2	-0.1	253965	80.5069	9719.05225550758	
1991-10-01	1.4	1.2	254835	80.3812	9779.68712189762	
1992-01-01	4.9	2.9	255585	79.8685	9840.95736340245	
1992-04-01	4.4	3.2	256439	80.7952	9903.22421874134	
1992-07-01	4	3.7	257386	80.8903	9967.18926570393	
1992-10-01	4.2	4.4	258277	81.2344	10032.2124322612	
1993-01-01	0.7	3.3	259039	81.5631	10098.2893250648	
1993-04-01	2.3	2.8	259826	81.3537	10165.9780138778	
1993-07-01	1.9	2.3	260714	81.291	10234.6817476429	
1993-10-01	5.5	2.6	261547	82.1205	10304.2219861564	
1994-01-01	3.9	3.4	262250	82.585	10374.3206746335	
1994-04-01	5.5	4.2	263020	83.4134	10444.8718648733	
1994-07-01	2.4	4.3	263870	83.6933	10516.4033890138	
1994-10-01	4.7	4.1	264678	84.5482	10588.5100749116	
1995-01-01	1.4	3.5	265388	84.5617	10660.8512199494	
1995-04-01	1.2	2.4	266142	83.9309	10733.9241392145	
1995-07-01	3.4	2.7	267000	83.7784	10807.2352401387	
1995-10-01	2.7	2.2	267820	83.4308	10882.1474701193	
1996-01-01	3	2.6	268487	82.8774	10958.2374644673	
1996-04-01	6.8	4	269251	83.4869	11038.9935416998	
1996-07-01	3.6	4	270128	83.4049	11125.4636871126	
1996-10-01	4.2	4.4	270991	83.3758	11217.5508013308	
1997-01-01	2.6	4.3	271709	83.7332	11315.1160738239	
1997-04-01	6.8	4.3	272487	83.627	11417.5148009159	
1997-07-01	5.1	4.7	273391	84.1335	11525.0735151062	
1997-10-01	3.5	4.5	274246	84.6637	11636.5249359117	
1998-01-01	4.1	4.9	274950	83.9745	11751.276375894	
1998-04-01	3.8	4.1	275703	82.9315	11869.7764042784	
1998-07-01	5.1	4.1	276564	82.1367	11990.4282067397	
1998-10-01	6.6	4.9	277400	82.0671	12113.2492017673	
1999-01-01	3.8	4.8	278103	81.8978	12238.5117913994	
1999-04-01	3.4	4.7	278864	81.6933	12365.2849898919	
1999-07-01	5.4	4.8	279751	81.5265	12493.7034835611	
1999-10-01	6.7	4.8	280592	82.0986	12624.3397675143	
2000-01-01	1.5	4.2	281304	82.0771	12756.1977992918	
2000-04-01	7.5	5.2	282002	82.2414	12885.549542919	
2000-07-01	0.4	4	282769	81.3494	13010.0471241079	
2000-10-01	2.4	2.9	283518	80.3346	13129.1447680633	
2001-01-01	-1.3	2.2	284169	78.5419	13242.6261142211	
2001-04-01	2.5	1	284838	76.854	13350.3997705019	
2001-07-01	-1.6	0.5	285584	75.1907	13452.5043895306	
2001-10-01	1.1	0.2	286311	73.893	13549.5783083476	
2002-01-01	3.4	1.3	286935	74.0686	13642.0266536659	3263.869
2002-04-01	2.5	1.3	287574	74.9989	13731.5275369163	3362.508
2002-07-01	1.6	2.1	288303	75.381	13819.4217452817	3401.82
2002-10-01	0.5	2	289007	75.3722	13906.0730892485	3460.159
2003-01-01	2.1	1.7	289609	75.9235	13992.4845048455	3340.163
2003-04-01	3.6	2	290253	75.4311	14079.716647492	3429.079
2003-07-01	6.8	3.2	290974	75.9974	14166.9683806409	3498.914
2003-10-01	4.7	4.3	291669	76.7714	14255.2957485288	3597.364
2004-01-01	2.3	4.4	292237	77.3625	14345.4715252156	3484.837
2004-04-01	3.2	4.2	292875	77.8423	14436.9676951316	3575.515
2004-07-01	3.8	3.5	293603	78.2882	14530.6571547786	3617.667
2004-10-01	4.2	3.4	294334	79.3292	14625.54005176	3721.678
2005-01-01	4.5	3.9	294957	80.277	14718.9071571952	3603.67
2005-04-01	2	3.6	295588	80.4635	14809.9663555948	3701.582
2005-07-01	3.2	3.4	296340	79.8134	14899.7646723963	3767.844
2005-10-01	2.3	3	297086	80.1968	14987.7347477768	3828.173
2006-01-01	5.5	3.2	297736	80.6335	15073.6648170587	3729.338
