"DATE"	"CEU0500000002"	"CEU0500000003"	"CNP16OV"	"CPIAUCSL"	"CPILFESL"	"GS1"	"GS10"	"GS5"	"LFWA64TTUSM647S"	"LNU01000000"	"LNU03000000"	"LNU05000000"	"PCEPI"	"PCEPILFE"	"PCETRIM1M158SFRBDAL"	"POPTHM"	"STLPPM"
1957-03-01			111824	27.86	28.7	3.42	3.41	3.46		65956	2822						
1957-04-01			111933	27.93	28.8	3.49	3.48	3.53		66139	2627						
1957-05-01			112031	28	28.8	3.48	3.6	3.64		66848	2635						
1957-06-01			112172	28.11	28.9	3.65	3.8	3.83		68258	3131						
1957-07-01			112317	28.19	29	3.81	3.93	4		68569	2843						
1957-08-01			112421	28.28	29	4.01	3.93	4		67535	2526						
1957-09-01			112554	28.32	29.1	4.07	3.92	4.03		67272	2503						
1957-10-01			112710	28.32	29.2	4.01	3.97	4.08		67577	2465						
1957-11-01			112874	28.41	29.3	3.57	3.72	3.72		67256	3127						
1957-12-01			113013	28.47	29.3	3.18	3.21	3.08		66930	3332						
1958-01-01			113138	28.64	29.3	2.65	3.09	2.88		65972	4464						
1958-02-01			113234	28.7	29.4	1.99	3.05	2.78		66381	5116						
1958-03-01			113337	28.87	29.5	1.84	2.98	2.64		66722	5155						
1958-04-01			113415	28.94	29.5	1.45	2.88	2.46		67180	5064						
1958-05-01			113534	28.94	29.5	1.37	2.92	2.41		67930	4832						
1958-06-01			113647	28.91	29.6	1.23	2.97	2.46		68875	5223						
1958-07-01			113727	28.89	29.6	1.61	3.2	2.77		68908	5098						
1958-08-01			113835	28.94	29.6	2.5	3.54	3.29		68625	4607						
1958-09-01			113977	28.91	29.7	3.05	3.76	3.69		67824	4058						
1958-10-01			114138	28.91	29.7	3.19	3.8	3.78		68230	3750						
1958-11-01			114283	28.95	29.8	3.1	3.74	3.7		67675	3785						
1958-12-01			114429	28.97	29.9	3.29	3.86	3.82		67334	4068						
1959-01-01			114582	29.01	29.9	3.36	4.02	4.01		66730	4678		15.164	15.501		175818	
1959-02-01			114712	29	29.9	3.54	3.96	3.96		66713	4698		15.179	15.513		176044	
1959-03-01			114849	28.97	30	3.61	3.99	3.99		67389	4298		15.189	15.531		176274	
1959-04-01			114986	28.98	30	3.72	4.12	4.12		67799	3558		15.219	15.57		176503	
1959-05-01			115144	29.04	30.1	3.96	4.31	4.35		68363	3327		15.227	15.589		176723	
1959-06-01			115287	29.11	30.2	4.07	4.34	4.5		69704	3780		15.271	15.635		176954	
1959-07-01			115429	29.15	30.2	4.39	4.4	4.58		69798	3605		15.303	15.672		177208	
1959-08-01			115555	29.18	30.2	4.42	4.43	4.57		69244	3347		15.325	15.697		177479	
1959-09-01			115668	29.25	30.3	5	4.68	4.9		68609	3195		15.365	15.738		177755	
1959-10-01			115798	29.35	30.4	4.8	4.53	4.72		69122	3231		15.402	15.765		178026	
1959-11-01			115916	29.35	30.4	4.81	4.53	4.75		68513	3636		15.412	15.794		178273	
1959-12-01			116040	29.41	30.5	5.14	4.69	5.01		68448	3521		15.43	15.818		178504	
1960-01-01			116594	29.37	30.5	5.03	4.72	4.92		67494	4119		15.421	15.822		178925	
1960-02-01			116702	29.41	30.6	4.66	4.49	4.69		67757	3886		15.437	15.852		179326	
1960-03-01			116827	29.41	30.6	4.02	4.25	4.31		67771	4164		15.446	15.853		179707	
1960-04-01			116910	29.54	30.6	4.04	4.28	4.29		69057	3607		15.502	15.882		180067	
1960-05-01			117033	29.57	30.6	4.21	4.35	4.49		69722	3380		15.518	15.908		180408	
1960-06-01			117167	29.61	30.7	3.36	4.15	4.12		71460	4172		15.525	15.917		180728	
1960-07-01			117281	29.55	30.6	3.2	3.9	3.79		71123	3884		15.553	15.945		181028	
1960-08-01			117431	29.61	30.6	2.95	3.8	3.62		70715	3711		15.579	15.968		181308	
